date_time,brawler_name,result,current_trophies,trophy_delta,new_winstreak,playstyle_hash,playstyle_name,playstyle_gamemodes,playstyle_brawlers,pyla_version,power_level
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2026-07-04T14:17:26.584418,penny,victory,571.0,10.0,1.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-04T14:19:45.953331,penny,defeat,581.0,-2.0,0.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-04T14:20:47.141627,penny,defeat,579.0,-2.0,0.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-04T14:22:33.435574,penny,victory,577.0,10.0,1.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-04T14:26:10.735890,penny,defeat,587.0,-2.0,0.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-04T14:28:16.301873,penny,defeat,585.0,-2.0,0.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-04T14:29:29.530165,penny,victory,583.0,10.0,1.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-04T14:31:00.590306,penny,defeat,593.0,-2.0,0.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-04T14:32:13.765090,penny,defeat,591.0,-2.0,0.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-04T14:33:26.841377,penny,victory,589.0,10.0,1.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-04T14:36:04.224223,penny,victory,599.0,11.0,2.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-04T14:39:31.012746,poco,defeat,468.0,-2.0,0.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-04T14:40:59.037173,poco,defeat,466.0,-2.0,0.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-04T14:41:51.135405,poco,victory,464.0,10.0,1.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
2026-07-04T14:43:37.421275,poco,defeat,474.0,-2.0,0.0,d166afbfb53dd241904970eb67dae96b4fc5b815b77c5f6b1a484438369afe5b,Slarckvul RUSH mode - Aggressive,all,all,0.8.14,-1.0
